NNP-PRP-VBP, S
PRP-VBP-VBP, S
VBP-VBP-IN, S
VBP-IN-DT, S
IN-DT-NN, S
DT-VBZ-DT, C
VBZ-DT-JJ, C
DT-JJ-NN, C
JJ-NN-TO, C
NN-TO-VB, C
WP-VBZ-NNP, Q
VBZ-NNP-VB, Q
NNP-VB-IN, Q
NNP-VBZ-DT, S
VBZ-DT-JJ, S
DT-JJ-NNP, S
JJ-NNP-NNP, S
MD-DT-NN, Q
DT-NN-NN, Q
NN-NN-IN, Q
NN-IN-NN, Q
WRB-VBP-PRP, C
IN-PRP-VBP, Q
PRP-VBP-DT, Q
VBP-DT-NNP, Q
DT-NNP-NN, Q
NNP-NN-IN, Q
NN-IN-DT, Q
IN-DT-NNP, Q
DT-NNP-VB, Q
NNP-VB-WRB, Q
VB-WRB-VB, Q
WRB-VB-PRP, Q
VB-PRP-NN, Q
PRP-NN-PRP, Q
WP-VBZ-JJ, Q
VBZ-JJ-NN, Q
NNS-DT-NN, C
DT-NN-IN, C
NN-IN-NN, C
MD-DT-NNP, Q
DT-NNP-NN, Q
NNP-NN-NN, Q
NN-NN-NNP, Q
NN-NNP-NN, Q
NNP-NN-NNS, Q
WRB-MD-DT, Q
MD-DT-NNP, Q
DT-NNP-CD, Q
NNP-CD-NN, Q
CD-NN-VB, Q
NN-VB-VBN, Q
WRB-MD-CD, Q
MD-CD-VB, Q
CD-VB-VBN, Q
MD-WDT-VB, Q
WDT-VB-IN, Q
VB-IN-NN, Q
WP-VBZ-NNP, Q
VBZ-NNP-NNP, Q
NNP-VBZ-NNP, S
VBZ-NNP-NNP, S
NNP-NNP-NNP, S
DT-NNP-NNP, S
NNP-NNP-IN, S
NNP-IN-NNP, S
IN-NNP-VBZ, S
NNP-VBZ-NNP, S
VBZ-NNP-NNP, S
NNP-VBZ-DT, S
VBZ-DT-NNP, S
DT-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-NNP, S
NNP-VBZ-DT, S
VBZ-DT-JJ, S
DT-JJ-NN, S
JJ-NN-IN, S
NN-IN-NN, S
IN-NN-NNS, S
WP-VBZ-NNP, Q
WP-VBZ-DT, Q
VBZ-DT-NNP, Q
NNP-VBZ-NNP, S
VBZ-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-NNP, S
DT-NNP-VBZ, Q
NNP-VBZ-DT, Q
VBZ-DT-NNP, Q
DT-NNP-NNP, Q
NNP-NNP-NNP, Q
NNP-NNP-DT, Q
NNP-DT-NN, Q
DT-NN-NN, Q
NN-NN-NN, Q
WP-VBZ-NNP, Q
NNP-VBZ-DT, S
VBZ-DT-NNP, S
